y,x,z,d
2.962104093,-0.63,9.915565,232.5
2.962297497,-0.825,9.96727,233.5
2.94923044,-0.795,10.01931,234.5
2.948848688,-0.55,10.0717,235.5
2.987764104,-0.365,10.1231,236.5
2.985781943,-0.51,10.17355,237.5
2.977892355,-0.465,10.22425,238.5
2.979858924,-0.375,10.2751,239.5
2.973970782,-0.525,10.32605,240.5
2.975929646,-0.135,10.3771,241.5
3.053361386,0.415,10.4262,242.5
3.051244983,0.17,10.47345,243.5
2.96036513,-0.74,10.523,244.5
2.958436489,-1.135,10.57485,245.5
2.964233606,-0.7,10.6266,246.5
2.962297497,-0.595,10.67825,247.5
2.958436489,-0.765,10.73005,248.5
2.95651156,-0.78,10.782,249.5
2.952672784,-0.845,10.8341,250.5
2.952672784,-0.93,10.8863,251.5
2.952672784,-0.83,10.9385,252.5
2.95459033,-0.48,10.99065,253.5
2.993734271,-0.35,11.04175,254.5
2.993734271,-0.53,11.09185,255.5
2.989750202,-0.385,11.14205,256.5
2.991740252,-0.135,11.1923,257.5
3.009831198,-0.175,11.24205,258.5
3.009831198,-0.105,11.29135,259.5
3.028255465,0.055,11.3402,260.5
3.028255465,0.415,11.3886,261.5
3.087847562,0.775,11.4356,262.5
3.087847562,0.315,11.4812,263.5
2.997734276,-0.33,11.52895,264.5
2.997734276,-0.375,11.57885,265.5
2.983803703,-0.5,11.6291,266.5
2.983803703,-0.975,11.6797,267.5
2.920624801,-1.255,11.73195,268.5
2.920624801,-1.43,11.78585,269.5
2.893175685,-1.58,11.8405,270.5
2.893175685,-1.6,11.8959,271.5
2.880619466,-1.72,11.95165,272.5
2.880619466,-2.015,12.00775,273.5
2.833613424,-2.285,12.0652,274.5
2.831914188,-2.61,12.12405,275.5
2.796881415,-2.7,12.184,276.5
2.796881415,-2.37,12.245,277.5
2.810082927,-2.515,12.3056,278.5
2.811745437,-2.965,12.36575,279.5
2.775793853,-2.93,12.42695,280.5
2.774190004,-2.835,12.4893,281.5
2.741090055,-3.39,12.55275,282.5
2.739540868,-4.03,12.6173,283.5
2.683845512,-4.07,12.68375,284.5
2.682382454,-3.785,12.7521,285.5
2.713565382,-3.685,12.81945,286.5
2.715074816,-4.005,12.8857,287.5
2.663554961,-4.25,12.95365,288.5
2.663554961,-4.08,13.02335,289.5
2.701571235,-3.74,13.09175,290.5
2.70306266,-3.405,13.1588,291.5
2.733368009,-3.32,13.2248,292.5
2.73183073,-3.45,13.28985,293.5
2.706052198,-3.585,13.3558,294.5
2.706052198,-3.76,13.4226,295.5
2.682382454,-3.8,13.4902,296.5
2.680921534,-3.735,13.55865,297.5
2.695627681,-3.585,13.62665,298.5
2.694147296,-3.31,13.6942,299.5
2.724179583,-3.17,13.7608,300.5
2.724179583,-3.42,13.8264,301.5
2.652142569,-3.975,13.89445,302.5
2.650725134,-4.15,13.965,303.5
2.662121269,-3.795,14.0352,304.5
2.662121269,-3.42,14.105,305.5
2.718100537,-3.09,14.1729,306.5
2.716586532,-2.55,14.23895,307.5
2.796881415,-2.115,14.3025,308.5
2.795243413,-2.14,14.36355,309.5
2.790345444,-2.15,14.4248,310.5
2.791975436,-2.19,14.48615,311.5
2.763034509,-2.445,14.54835,312.5
2.764620553,-2.7,14.6114,313.5
2.719616837,-2.955,14.67585,314.5
2.718100537,-3.21,14.7418,315.5
2.675099101,-3.47,14.80925,316.5
2.673648774,-3.725,14.8782,317.5
2.63108916,-3.98,14.9487,318.5
2.63108916,-3.875,15.0207,319.5
2.653562016,-3.73,15.0919,320.5
2.652142569,-4.08,15.16235,321.5
2.61866664,-4.16,15.23405,322.5
2.617295838,-3.95,15.307,323.5
2.628315233,-4.03,15.3796,324.5
