y,x,z,d
3.257333193,0.165,6.569855,215.875
3.282202959,-0.875,6.590765,216.425
3.282687338,-0.99,6.61141,216.975
3.282202959,-1.49,6.632055,217.525
3.248866539,-1.245,6.653055,218.075
3.248866539,-0.86,6.674405,218.625
3.248866539,-1.75,6.695755,219.175
3.311190496,-0.7,6.71646,219.725
3.311689124,0.415,6.736515,220.275
3.311689124,-0.025,6.756565,220.825
3.277372032,-0.875,6.776965,221.375
3.27689022,-1.39,6.79772,221.925
3.27689022,-1.255,6.81848,222.475
3.289493392,-1.135,6.83911,223.025
3.289005706,-0.83,6.859615,223.575
3.289493392,0.08,6.88012,224.125
3.378191335,0.25,6.89975,224.675
3.377658428,0.37,6.918515,225.225
3.377658428,0.13,6.937285,225.775
3.290469478,-0.765,6.95691,226.325
3.290469478,-1.015,6.97739,226.875
3.290469478,-0.86,6.99787,227.425
3.290957879,-0.39,7.018345,227.975
3.290957879,-0.865,7.038815,228.525
3.290469478,-1.19,7.05929,229.075
3.259697819,-0.8,7.08009,229.625
3.259224447,-0.885,7.101215,230.175
3.259697819,-1.135,7.12234,230.725
3.25544551,-0.775,7.143505,231.275
3.254974145,-1.15,7.16472,231.825
3.25544551,-2.455,7.185935,232.375
3.186672684,-2.16,7.2079,232.925
3.186672684,-1.125,7.23062,233.475
3.186672684,-1.375,7.25334,234.025
3.237224964,-1.69,7.2755,234.575
3.236762108,-1.495,7.297105,235.125
3.236762108,-0.915,7.318715,235.675
3.341043459,0.24,7.339255,236.225
3.34052998,0.035,7.35873,236.775
3.341043459,-1.455,7.378205,237.325
3.220240392,-1.57,7.398925,237.875
3.220240392,-1.44,7.420895,238.425
3.220240392,-1.765,7.442865,238.975
3.238151318,-0.965,7.46464,239.525
3.238151318,-0.885,7.48622,240.075
3.238151318,-1.65,7.5078,240.625
3.292913869,-1.35,7.528805,241.175
3.293403465,-0.45,7.54923,241.725
3.292913869,-0.45,7.569655,242.275
3.355007999,-0.115,7.58947,242.825
3.355007999,-0.005,7.60867,243.375
3.355007999,0.06,7.62787,243.925
3.310193983,-0.155,7.64751,244.475
3.310193983,-1.425,7.66759,245.025
3.310193983,-1.265,7.68767,245.575
3.308203933,-0.64,7.70777,246.125
3.308701074,-0.015,7.727885,246.675
3.308203933,-0.725,7.748,247.225
3.312687129,-1.51,7.768075,247.775
3.313186504,-0.175,7.7881,248.325
3.312687129,0.63,7.808125,248.875
3.296346087,-0.78,7.82832,249.425
3.295855048,-1.535,7.848685,249.975
3.296346087,-1.255,7.86905,250.525
3.289981316,-1.48,7.889475,251.075
3.289981316,-0.915,7.909965,251.625
3.289981316,-0.04,7.930455,252.175
3.308701074,-0.15,7.950755,252.725
3.308701074,-0.81,7.970865,253.275
3.309198463,-1.15,7.99097,253.825
3.241865343,-1.325,8.01177,254.375
3.241865343,-1.33,8.03327,254.925
3.242330568,-1.72,8.054765,255.475
3.200857319,-1.53,8.07671,256.025
3.201303848,-1.98,8.099105,256.575
3.201303848,-2.11,8.121495,257.125
3.251680799,-0.89,8.143335,257.675
3.251680799,-1.025,8.164625,258.225
3.251680799,-1.72,8.185915,258.775
3.177472181,-2.29,8.208025,259.325
3.177472181,-2.395,8.230955,259.875
3.177036167,-1.78,8.25389,260.425
3.237688034,-1.51,8.276155,260.975
3.237688034,-1.24,8.297745,261.525
3.238151318,-1.06,8.31933,262.075
3.241865343,-1.39,8.34087,262.625
3.241865343,-1.345,8.36237,263.175
3.242330568,-1.25,8.383865,263.725
3.212532351,-1.82,8.40568,264.275
3.212532351,-2.045,8.42782,264.825
3.212532351,-1.79,8.44996,265.375
3.248398264,-1.645,8.47171,265.925
3.247930209,-1.07,8.493075,266.475
3.248398264,-0.72,8.51444,267.025
3.279784578,-0.775,8.53547,267.575
3.280267786,-1.82,8.556165,268.125
3.279784578,-1.765,8.57686,268.675
3.285598548,-0.18,8.5975,269.225
3.285598548,-0.215,8.61808,269.775
3.285598548,-1.175,8.63866,270.325
3.311190496,-0.76,8.65898,270.875
3.311689124,-0.6,8.679035,271.425
3.311689124,-1.175,8.699085,271.975
3.280267786,-0.915,8.719455,272.525
3.280751229,-1.15,8.74014,273.075
3.280267786,-1.575,8.760825,273.625
3.275927293,-1.195,8.78156,274.175
3.275927293,-1.065,8.80234,274.725
3.275927293,-0.865,8.82312,275.275
3.246994755,-1.22,8.844205,275.825
3.246994755,-1.81,8.865595,276.375
3.246994755,-1.275,8.886985,276.925
3.320707222,-0.56,8.907615,277.475
3.320707222,-0.545,8.927485,278.025
3.320204077,-0.88,8.94736,278.575
3.317692144,-0.86,8.967265,279.125
3.317692144,-0.995,8.987195,279.675
3.317190514,-0.54,9.00713,280.225
3.320707222,-0.025,9.027035,280.775
3.320204077,-0.795,9.04691,281.325
3.320707222,-1.08,9.066785,281.875
3.316188007,-0.805,9.0867,282.425
3.316188007,-0.765,9.10666,282.975
3.316188007,-0.84,9.12662,283.525
3.294383377,-0.79,9.1468,284.075
3.293893301,-0.49,9.167205,284.625
3.293893301,-1.525,9.187615,285.175
3.268734742,-2.23,9.208285,285.725
3.268734742,-0.98,9.229215,286.275
3.268257073,-0.74,9.25015,286.825
3.371815118,-0.655,9.27006,287.375
3.371815118,0.325,9.28894,287.925
3.371285597,0.015,9.307825,288.475
3.31468613,-0.75,9.327265,289.025
3.314186005,-1.28,9.34726,289.575
3.314186005,-0.805,9.36726,290.125
3.345160809,-0.16,9.386955,290.675
3.344645212,-0.365,9.40635,291.225
3.344645212,-0.51,9.42575,291.775
3.367586781,-0.355,9.44493,292.325
3.367059494,-0.235,9.463895,292.875
3.367059494,-0.045,9.482865,293.425
3.4093212,0.36,9.510535,294.25
3.409596189,0,9.53781,295.075
3.30671399,-1.25,9.556975,295.625
3.30671399,-1.175,9.577125,296.175
3.30671399,-0.72,9.597275,296.725
3.36075364,-0.535,9.616895,297.275
3.36075364,-0.355,9.635985,297.825
3.36075364,0.02,9.655075,298.375
3.367059494,0.345,9.674105,298.925
3.367586781,-0.63,9.69307,299.475
3.367586781,-0.62,9.71203,300.025
3.395938507,-0.23,9.730725,300.575
3.395938507,0.365,9.749155,301.125
3.395938507,0.535,9.767585,301.675
3.410696905,-0.015,9.78588,302.225
3.411247718,0.23,9.804035,302.775
3.410696905,0.19,9.82219,303.325
3.439749228,0.63,9.84009,303.875
3.440316282,0.975,9.857725,304.425
3.439749228,-0.89,9.87536,304.975
3.308203933,-1.265,9.89424,305.525
3.308701074,-0.165,9.914355,306.075
3.308203933,-0.885,9.93447,306.625
3.364953122,-0.445,9.954035,307.175
3.364427221,0.035,9.97305,307.725
3.363376249,-0.23,9.99208,308.275
3.355007999,-0.25,10.0112,308.825
3.355007999,-0.81,10.0304,309.375
3.349813182,-0.31,10.04965,309.925
3.365479299,-0.005,10.0688,310.475
3.365479299,-0.555,10.0878,311.025
3.360229943,-0.245,10.10685,311.575
3.397567614,0.29,10.1256,312.125
3.397567614,0.06,10.144,312.675
3.392147546,0.045,10.16245,313.225
3.392147546,-0.445,10.18095,313.775
3.392147546,-0.58,10.19945,314.325
3.397567614,0.705,10.2179,314.875
3.408496684,0.91,10.2362,315.425
3.408496684,0.205,10.2544,315.975
3.408496684,-0.245,10.2726,316.525
3.381394754,-0.045,10.29105,317.075
3.376061408,0.09,10.3098,317.625
3.376061408,-0.64,10.3286,318.175
3.349813182,-1.23,10.34765,318.725
3.344645212,-0.385,10.367,319.275
3.344645212,0.27,10.3864,319.825
3.376061408,-0.11,10.4055,320.375
3.376061408,-0.015,10.4243,320.925
3.376061408,-0.82,10.4431,321.475
3.329299642,-0.75,10.46235,322.025
3.329299642,-0.505,10.48205,322.575
3.329299642,-0.87,10.50175,323.125
3.314186005,-0.59,10.5216,323.675
3.319198546,-1.12,10.54155,324.225
3.314186005,-0.61,10.5615,324.775
3.436353639,0.42,10.58035,325.325
3.436353639,0.845,10.59805,325.875
3.436353639,0.785,10.61575,326.425
3.476704934,0.195,10.6331,326.975
3.470839815,1.05,10.65015,327.525
3.476704934,0.445,10.6672,328.075
3.334388712,-0.675,10.6855,328.625
3.334388712,-0.335,10.7051,329.175
3.334388712,-0.715,10.7247,329.725
3.344645212,-0.76,10.7442,330.275
3.344645212,-0.575,10.7636,330.825
